sourceOccurrenceId	sourceTaxonId	sourceTaxonName	sourceBodyPartId	sourceBodyPartName	sourceLifeStageId	sourceLifeStageName	interactionTypeId	interactionTypeName	targetOccurrenceId	targetTaxonId	targetTaxonName	targetBodyPartId	targetBodyPartName	targetLifeStageId	targetLifeStageName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceDoi	referenceCitation
	EOL:902512	Cymbella aspera 						interacts with		EOL:88480	Aphrophila 											
	EOL:902512	Cymbella aspera 						interacts with		EOL:60667	Aoteapsyche 											
	EOL:902512	Cymbella aspera 						interacts with		EOL:60648	Pycnocentrodes 											
	EOL:902512	Cymbella aspera 						interacts with		EOL:55368	Naonella 											
	EOL:902512	Cymbella aspera 						interacts with		EOL:54846	Probezzia 											
	EOL:902512	Cymbella aspera 						interacts with		EOL:54832	Cricotopus 											
	EOL:902512	Cymbella aspera 						interacts with		EOL:52934	Pycnocentria 											
	EOL:902512	Cymbella aspera 						interacts with		EOL:9021	Tanyderidae 											
	EOL:902512	Cymbella aspera 						eaten by		EOL:6891728	Coloburiscus humeralis 											
	EOL:902512	Cymbella aspera 						eaten by		EOL:60667	Aoteapsyche 											
	EOL:902512	Cymbella aspera 						eaten by		EOL:5120096	Oligochaeta 											
	EOL:902512	Cymbella aspera 						eaten by		EOL:2693261	Tanytarsini 											
	EOL:902512	Cymbella aspera 						eaten by		EOL:593107	Olinga feredayi 											
	EOL:902512	Cymbella aspera 						eaten by		EOL:88480	Aphrophila 											
	EOL:902512	Cymbella aspera 						eaten by		EOL:493217	Sphaerium occidentale 											
	EOL:902512	Cymbella aspera 						eaten by		EOL:12026817	Austroclima jollyae 											
	EOL:902512	Cymbella aspera 						eaten by		EOL:19665862	Oligochaeta 											
	EOL:902512	Cymbella aspera 						eaten by		EOL:586334	Potamopyrgus antipodarum 											
	EOL:902512	Cymbella aspera 						eaten by		EOL:4254164	Paracalliope 											
	EOL:902512	Cymbella aspera 						eaten by		EOL:19712309	Baraeoptera roria 											
	EOL:902512	Cymbella aspera 						eaten by		EOL:582612	Oxyethira albiceps 											
	EOL:902512	Cymbella aspera 						eaten by		EOL:52934	Pycnocentria 											
	EOL:902512	Cymbella aspera 						eaten by		EOL:84317	Paralimnophora 											
	EOL:902512	Cymbella aspera 						eaten by		EOL:110394	Psephenus 											
	EOL:902512	Cymbella aspera 						eaten by		EOL:19712211	Hydora nitida 											
	EOL:902512	Cymbella aspera 						eaten by		EOL:3684076	Deleatidium 											
	EOL:902512	Cymbella aspera 						eaten by		EOL:53016	Hudsonema 											
	EOL:902512	Cymbella aspera 						eaten by		EOL:55368	Naonella 											
	EOL:902512	Cymbella aspera 						eaten by		EOL:6892142	Oniscigaster 											
	EOL:902512	Cymbella aspera 						eaten by		EOL:9021	Tanyderidae 											
	EOL:902512	Cymbella aspera 						eaten by		EOL:745749	Austrosimulium australense 											
	EOL:902512	Cymbella aspera 						eaten by		EOL:60648	Pycnocentrodes 											
	EOL:902512	Cymbella aspera 						eaten by		EOL:16680184	Zephlebia spectabilis 											
	EOL:902512	Cymbella aspera 						eaten by		EOL:50493	Chimarra 											
	EOL:902512	Cymbella aspera 						eaten by		EOL:54681	Simulium 											
	EOL:902512	Cymbella aspera 						eaten by		no:match	Potamopurgus antipodarum 											
	EOL:902512	Cymbella aspera 						eaten by		EOL:8106901	Austroperla cyrene 											
	EOL:902512	Cymbella aspera 						eaten by		EOL:6919819	Zelandoperla fenestrata 											
	EOL:902512	Cymbella aspera 						eaten by		EOL:54846	Probezzia 											
	EOL:902512	Cymbella aspera 						eaten by		EOL:16680150	Atalophlebioides cromwelli 											
	EOL:902512	Cymbella aspera 						eaten by		EOL:2686478	Hexatomini 											
	EOL:902512	Cymbella aspera 						eaten by		EOL:54832	Cricotopus 											
	EOL:902512	Cymbella aspera 						eaten by		EOL:10482179	Nesameletus ornatus 											
	EOL:902512	Cymbella aspera 						eaten by		no:match	Zealolessica cheira 											
	EOL:902512	Cymbella aspera 						eaten by		EOL:482	Chironomidae 											
	EOL:902512	Cymbella aspera 						eaten by		EOL:110606	Hydraena 											
	EOL:902512	Cymbella aspera 						eaten by		no:match	Zealolessica cheira 											
	EOL:902512	Cymbella aspera 						eaten by		EOL:52934	Pycnocentria 											
	EOL:902512	Cymbella aspera 						eaten by		no:match	Potamopurgus antipodarum 											
	EOL:902512	Cymbella aspera 						eaten by		EOL:84317	Paralimnophora 											
	EOL:902512	Cymbella aspera 						eaten by		EOL:582612	Oxyethira albiceps 											
	EOL:902512	Cymbella aspera 						eaten by		no:match	Oniscogaster sp. 											
	EOL:902512	Cymbella aspera 						eaten by		EOL:2564270	Oligochaeta 											
	EOL:902512	Cymbella aspera 						eaten by		no:match	Maoridiemesea 											
	EOL:902512	Cymbella aspera 						eaten by		EOL:53016	Hudsonema 											
	EOL:902512	Cymbella aspera 						eaten by		EOL:2686478	Hexatomini 											
	EOL:902512	Cymbella aspera 						eaten by		EOL:3684076	Deleatidium 											
	EOL:902512	Cymbella aspera 						eaten by		EOL:54832	Cricotopus 											
	EOL:902512	Cymbella aspera 						eaten by		EOL:6891728	Coloburiscus humeralis 											
	EOL:902512	Cymbella aspera 						eaten by		EOL:745749	Austrosimulium australense 											
	EOL:902512	Cymbella aspera 						eaten by		EOL:12026817	Austroclima jollyae 											
	EOL:902512	Cymbella aspera 						eaten by		EOL:88480	Aphrophila 											
	EOL:902512	Cymbella aspera 						eaten by		EOL:60667	Aoteapsyche 											
	EOL:902512	Cymbella aspera 						eaten by		EOL:60648	Pycnocentrodes 											
	EOL:902512	Cymbella aspera 						eaten by		EOL:586334	Potamopyrgus antipodarum 											
	EOL:902512	Cymbella aspera 						eaten by		EOL:8106901	Austroperla cyrene 											
	EOL:902512	Cymbella aspera 						eaten by		EOL:5120096	Oligochaeta 											
	EOL:902512	Cymbella aspera 						eaten by		EOL:16680150	Atalophlebioides cromwelli 											
	EOL:902512	Cymbella aspera 						eaten by		EOL:19712211	Hydora nitida 											
	EOL:902512	Cymbella aspera 						eaten by		no:match	Autrosimilium australense 											
	EOL:902512	Cymbella aspera 						eaten by		EOL:55368	Naonella 											
	EOL:902512	Cymbella aspera 						eaten by		EOL:54681	Simulium 											
	EOL:902512	Cymbella aspera 						eaten by		EOL:110394	Psephenus 											
	EOL:902512	Cymbella aspera 						eaten by		EOL:50493	Chimarra 											
	EOL:902512	Cymbella aspera 						eaten by		EOL:493217	Sphaerium occidentale 											
	EOL:902512	Cymbella aspera 						eaten by		EOL:54846	Probezzia 											
	EOL:902512	Cymbella aspera 						eaten by		EOL:6919819	Zelandoperla fenestrata 											
	EOL:902512	Cymbella aspera 						eaten by		EOL:4254164	Paracalliope 											
	EOL:902512	Cymbella aspera 						eaten by		EOL:110606	Hydraena 											
	EOL:902512	Cymbella aspera 						eaten by		no:match	Chironomid type 'Large Tanytarsini' 											
	EOL:902512	Cymbella aspera 						eaten by		EOL:16680184	Zephlebia spectabilis 											
	EOL:902512	Cymbella aspera 						eaten by		EOL:9021	Tanyderidae 											
	EOL:902512	Cymbella aspera 						eaten by		no:match	Oniscigastor sp. 											
	EOL:902512	Cymbella aspera 						eaten by		EOL:593107	Olinga feredayi 											
	EOL:902512	Cymbella aspera 						eaten by		EOL:10482179	Nesameletus ornatus 											
	EOL:902512	Cymbella aspera 						eaten by		EOL:19712309	Baraeoptera roria 											
	EOL:902512	Cymbella aspera 						eaten by		EOL:2693261	Tanytarsini 											
	EOL:917237	Navicula radiosa 						interacts with		EOL:12026817	Austroclima jollyae 											
	EOL:917237	Navicula radiosa 						interacts with		EOL:2564270	Oligochaeta 											
	EOL:917237	Navicula radiosa 						interacts with		EOL:745749	Austrosimulium australense 											
	EOL:917237	Navicula radiosa 						interacts with		EOL:480390	Helicopsyche albescens 											
	EOL:917237	Navicula radiosa 						interacts with		EOL:88480	Aphrophila 											
	EOL:917237	Navicula radiosa 						interacts with		EOL:11750	Navicula 											
	EOL:902417	Gomphonema acuminatum 						interacts with		EOL:19712211	Hydora nitida 											
	EOL:902417	Gomphonema acuminatum 						interacts with		EOL:19665846	no:match 											
	EOL:902417	Gomphonema acuminatum 						interacts with		EOL:2762498	Baetis 											
	EOL:902417	Gomphonema acuminatum 						interacts with		EOL:2693261	Tanytarsini 											
	EOL:902417	Gomphonema acuminatum 						interacts with		EOL:2692848	Chironomini 											
	EOL:902417	Gomphonema acuminatum 						interacts with		EOL:2686759	Eriopterini 											
	EOL:902417	Gomphonema acuminatum 						interacts with		EOL:902417	Gomphonema acuminatum 											
	EOL:902417	Gomphonema acuminatum 						interacts with		EOL:486	Ceratopogonidae 											
	EOL:902417	Gomphonema acuminatum 						interacts with		EOL:88480	Aphrophila 											
	EOL:902417	Gomphonema acuminatum 						interacts with		EOL:60648	Pycnocentrodes 											
	EOL:902417	Gomphonema acuminatum 						interacts with		EOL:59435	Oeconesus 											
	EOL:902417	Gomphonema acuminatum 						interacts with		EOL:55368	Naonella 											
	EOL:902417	Gomphonema acuminatum 						interacts with		EOL:55093	Dicrotendipes 											
	EOL:902417	Gomphonema acuminatum 						interacts with		EOL:54846	Probezzia 											
	EOL:902417	Gomphonema acuminatum 						interacts with		EOL:50410	Aeolosoma 											
	EOL:902417	Gomphonema acuminatum 						interacts with		EOL:11741	Echinella 											
	EOL:902417	Gomphonema acuminatum 						eaten by		EOL:55093	Dicrotendipes 											
	EOL:902417	Gomphonema acuminatum 						eaten by		EOL:54846	Probezzia 											
	EOL:902417	Gomphonema acuminatum 						eaten by		EOL:2693261	Tanytarsini 											
	EOL:902417	Gomphonema acuminatum 						eaten by		EOL:2762498	Baetis 											
	EOL:902417	Gomphonema acuminatum 						eaten by		EOL:55368	Naonella 											
	EOL:902417	Gomphonema acuminatum 						eaten by		EOL:486	Ceratopogonidae 											
	EOL:902417	Gomphonema acuminatum 						eaten by		EOL:88480	Aphrophila 											
	EOL:902417	Gomphonema acuminatum 						eaten by		EOL:60648	Pycnocentrodes 											
	EOL:902417	Gomphonema acuminatum 						eaten by		EOL:50410	Aeolosoma 											
	EOL:902417	Gomphonema acuminatum 						eaten by		EOL:2686759	Eriopterini 											
	EOL:902417	Gomphonema acuminatum 						eaten by		EOL:19712211	Hydora nitida 											
	EOL:902417	Gomphonema acuminatum 						eaten by		EOL:2692848	Chironomini 											
	EOL:902417	Gomphonema acuminatum 						eaten by		EOL:54923	Polypedilum 											
	EOL:902417	Gomphonema acuminatum 						eaten by		EOL:59435	Oeconesus 											
	EOL:902417	Gomphonema acuminatum 						eaten by		no:match	Ceratopogonid 											
	EOL:902417	Gomphonema acuminatum 						eaten by		EOL:2693261	Tanytarsini 											
	EOL:902417	Gomphonema acuminatum 						eaten by		EOL:55368	Naonella 											
	EOL:902417	Gomphonema acuminatum 						eaten by		EOL:19712211	Hydora nitida 											
	EOL:902417	Gomphonema acuminatum 						eaten by		EOL:88480	Aphrophila 											
	EOL:902417	Gomphonema acuminatum 						eaten by		EOL:54923	Polypedilum 											
	EOL:912851	Epithemia zebra 						interacts with		EOL:19712309	Baraeoptera roria 											
	EOL:912851	Epithemia zebra 						interacts with		EOL:19712259	no:match 											
	EOL:912851	Epithemia zebra 						interacts with		EOL:19712211	Hydora nitida 											
	EOL:912851	Epithemia zebra 						interacts with		EOL:53016	Hudsonema 											
	EOL:912851	Epithemia zebra 						interacts with		EOL:19665846	no:match 											
	EOL:912851	Epithemia zebra 						interacts with		EOL:16680184	Zephlebia spectabilis 											
	EOL:912851	Epithemia zebra 						interacts with		EOL:12026817	Austroclima jollyae 											
	EOL:912851	Epithemia zebra 						interacts with		EOL:10482179	Nesameletus ornatus 											
	EOL:912851	Epithemia zebra 						interacts with		EOL:6892142	Oniscigaster 											
	EOL:912851	Epithemia zebra 						interacts with		EOL:6891728	Coloburiscus humeralis 											
	EOL:912851	Epithemia zebra 						interacts with		EOL:3684076	Deleatidium 											
	EOL:912851	Epithemia zebra 						interacts with		EOL:2693261	Tanytarsini 											
	EOL:912851	Epithemia zebra 						interacts with		EOL:2686759	Eriopterini 											
	EOL:912851	Epithemia zebra 						interacts with		EOL:2564270	Oligochaeta 											
	EOL:912851	Epithemia zebra 						interacts with		EOL:1335452	Orthocladiinae 											
	EOL:912851	Epithemia zebra 						interacts with		EOL:912851	Epithemia zebra 											
	EOL:912851	Epithemia zebra 						interacts with		EOL:593107	Olinga feredayi 											
	EOL:912851	Epithemia zebra 						interacts with		EOL:586334	Potamopyrgus antipodarum 											
	EOL:912851	Epithemia zebra 						interacts with		EOL:480390	Helicopsyche albescens 											
	EOL:912851	Epithemia zebra 						interacts with		EOL:495	Psychodidae 											
	EOL:912851	Epithemia zebra 						interacts with		EOL:745749	Austrosimulium australense 											
	EOL:912851	Epithemia zebra 						interacts with		EOL:582612	Oxyethira albiceps 											
	EOL:912851	Epithemia zebra 						interacts with		EOL:110606	Hydraena 											
	EOL:912851	Epithemia zebra 						interacts with		EOL:88480	Aphrophila 											
	EOL:912851	Epithemia zebra 						interacts with		EOL:78459	Stictocladius 											
	EOL:912851	Epithemia zebra 						interacts with		EOL:60667	Aoteapsyche 											
	EOL:912851	Epithemia zebra 						interacts with		EOL:60648	Pycnocentrodes 											
	EOL:912851	Epithemia zebra 						interacts with		EOL:60576	Hydrobiosella 											
	EOL:912851	Epithemia zebra 						interacts with		EOL:56567	Parochlus 											
	EOL:912851	Epithemia zebra 						interacts with		EOL:55368	Naonella 											
	EOL:912851	Epithemia zebra 						interacts with		EOL:54832	Cricotopus 											
	EOL:912851	Epithemia zebra 						interacts with		EOL:52934	Pycnocentria 											
	EOL:912851	Epithemia zebra 						interacts with		EOL:9021	Tanyderidae 											
	EOL:918318	Epithemia sorex 						interacts with		EOL:19712333	no:match 											
	EOL:918318	Epithemia sorex 						interacts with		EOL:19712309	Baraeoptera roria 											
	EOL:918318	Epithemia sorex 						interacts with		EOL:19712264	no:match 											
	EOL:918318	Epithemia sorex 						interacts with		EOL:19712259	no:match 											
	EOL:918318	Epithemia sorex 						interacts with		EOL:19712257	no:match 											
	EOL:918318	Epithemia sorex 						interacts with		EOL:3684076	Deleatidium 											
	EOL:918318	Epithemia sorex 						interacts with		EOL:19712211	Hydora nitida 											
	EOL:918318	Epithemia sorex 						interacts with		EOL:53016	Hudsonema 											
	EOL:918318	Epithemia sorex 						interacts with		EOL:19666131	no:match 											
	EOL:918318	Epithemia sorex 						interacts with		EOL:19666066	no:match 											
	EOL:918318	Epithemia sorex 						interacts with		EOL:19665846	no:match 											
	EOL:918318	Epithemia sorex 						interacts with		EOL:16680184	Zephlebia spectabilis 											
	EOL:918318	Epithemia sorex 						interacts with		WORMS:558774	Aeolosoma 											
	EOL:918318	Epithemia sorex 						interacts with		EOL:12026817	Austroclima jollyae 											
	EOL:918318	Epithemia sorex 						interacts with		EOL:10482179	Nesameletus ornatus 											
	EOL:918318	Epithemia sorex 						interacts with		EOL:8941720	Podaena 											
	EOL:918318	Epithemia sorex 						interacts with		EOL:8941719	Orchymontia 											
	EOL:918318	Epithemia sorex 						interacts with		EOL:8106970	Acroperla trivacuata 											
	EOL:918318	Epithemia sorex 						interacts with		EOL:8106965	Acroperla 											
	EOL:918318	Epithemia sorex 						interacts with		EOL:8106901	Austroperla cyrene 											
	EOL:918318	Epithemia sorex 						interacts with		EOL:6919817	Zelandoperla 											
	EOL:918318	Epithemia sorex 						interacts with		EOL:6892142	Oniscigaster 											
	EOL:918318	Epithemia sorex 						interacts with		EOL:6891728	Coloburiscus humeralis 											
	EOL:918318	Epithemia sorex 						interacts with		EOL:2693261	Tanytarsini 											
	EOL:918318	Epithemia sorex 						interacts with		EOL:2692848	Chironomini 											
	EOL:918318	Epithemia sorex 						interacts with		EOL:2686759	Eriopterini 											
	EOL:918318	Epithemia sorex 						interacts with		EOL:2564270	Oligochaeta 											
	EOL:918318	Epithemia sorex 						interacts with		EOL:1335452	Orthocladiinae 											
	EOL:918318	Epithemia sorex 						interacts with		EOL:615147	Hydrobiosella stenocerca 											
	EOL:918318	Epithemia sorex 						interacts with		EOL:593107	Olinga feredayi 											
	EOL:918318	Epithemia sorex 						interacts with		EOL:586334	Potamopyrgus antipodarum 											
	EOL:918318	Epithemia sorex 						interacts with		EOL:480390	Helicopsyche albescens 											
	EOL:918318	Epithemia sorex 						interacts with		EOL:10822859	no:match 											
	EOL:918318	Epithemia sorex 						interacts with		EOL:918318	Epithemia sorex 											
	EOL:918318	Epithemia sorex 						interacts with		EOL:745749	Austrosimulium australense 											
	EOL:918318	Epithemia sorex 						interacts with		EOL:582612	Oxyethira albiceps 											
	EOL:918318	Epithemia sorex 						interacts with		EOL:110606	Hydraena 											
	EOL:918318	Epithemia sorex 						interacts with		EOL:88480	Aphrophila 											
	EOL:918318	Epithemia sorex 						interacts with		EOL:78459	Stictocladius 											
	EOL:918318	Epithemia sorex 						interacts with		EOL:60667	Aoteapsyche 											
	EOL:918318	Epithemia sorex 						interacts with		EOL:60648	Pycnocentrodes 											
	EOL:918318	Epithemia sorex 						interacts with		EOL:60576	Hydrobiosella 											
	EOL:918318	Epithemia sorex 						interacts with		EOL:59435	Oeconesus 											
	EOL:918318	Epithemia sorex 						interacts with		EOL:56567	Parochlus 											
	EOL:918318	Epithemia sorex 						interacts with		EOL:56387	Parametriocnemus 											
	EOL:918318	Epithemia sorex 						interacts with		EOL:55368	Naonella 											
	EOL:918318	Epithemia sorex 						interacts with		EOL:55267	Pirara 											
	EOL:918318	Epithemia sorex 						interacts with		EOL:55093	Dicrotendipes 											
	EOL:918318	Epithemia sorex 						interacts with		EOL:54832	Cricotopus 											
	EOL:918318	Epithemia sorex 						interacts with		EOL:54821	Eukiefferiella 											
	EOL:918318	Epithemia sorex 						interacts with		EOL:52934	Pycnocentria 											
	EOL:918318	Epithemia sorex 						interacts with		EOL:52816	Paroxyethira 											
	EOL:918318	Epithemia sorex 						interacts with		EOL:39616	Promoresia 											
	EOL:918318	Epithemia sorex 						interacts with		EOL:9021	Tanyderidae 											
	EOL:918318	Epithemia sorex 						interacts with		EOL:8612	Scirtidae 											
	EOL:918318	Epithemia sorex 						interacts with		EOL:64	Lumbriculidae 											
	EOL:918318	Epithemia sorex 						eaten by		EOL:8941719	Orchymontia 											
	EOL:918318	Epithemia sorex 						eaten by		EOL:110606	Hydraena 											
	EOL:918318	Epithemia sorex 						eaten by		EOL:8612	Scirtidae 											
	EOL:918318	Epithemia sorex 						eaten by		EOL:55267	Pirara 											
	EOL:918318	Epithemia sorex 						eaten by		EOL:5120096	Oligochaeta 											
	EOL:918318	Epithemia sorex 						eaten by		EOL:12026817	Austroclima jollyae 											
	EOL:918318	Epithemia sorex 						eaten by		EOL:582612	Oxyethira albiceps 											
	EOL:918318	Epithemia sorex 						eaten by		EOL:54832	Cricotopus 											
	EOL:918318	Epithemia sorex 						eaten by		EOL:2693261	Tanytarsini 											
	EOL:918318	Epithemia sorex 						eaten by		EOL:6891728	Coloburiscus humeralis 											
	EOL:918318	Epithemia sorex 						eaten by		EOL:55093	Dicrotendipes 											
	EOL:918318	Epithemia sorex 						eaten by		WORMS:118100	Chironomidae 											
	EOL:918318	Epithemia sorex 						eaten by		EOL:482	Chironomidae 											
	EOL:918318	Epithemia sorex 						eaten by		EOL:480390	Helicopsyche albescens 											
	EOL:918318	Epithemia sorex 						eaten by		EOL:52816	Paroxyethira 											
	EOL:918318	Epithemia sorex 						eaten by		EOL:6919817	Zelandoperla 											
	EOL:918318	Epithemia sorex 						eaten by		EOL:6891510	Ameletopsis perscitus 											
	EOL:918318	Epithemia sorex 						eaten by		EOL:88480	Aphrophila 											
	EOL:918318	Epithemia sorex 						eaten by		EOL:3684076	Deleatidium 											
	EOL:918318	Epithemia sorex 						eaten by		EOL:593107	Olinga feredayi 											
	EOL:918318	Epithemia sorex 						eaten by		EOL:1335452	Orthocladiinae 											
	EOL:918318	Epithemia sorex 						eaten by		EOL:55368	Naonella 											
	EOL:918318	Epithemia sorex 						eaten by		no:match	Podonomidae 											
	EOL:918318	Epithemia sorex 						eaten by		EOL:586334	Potamopyrgus antipodarum 											
	EOL:918318	Epithemia sorex 						eaten by		EOL:19665862	Oligochaeta 											
	EOL:918318	Epithemia sorex 						eaten by		EOL:39616	Promoresia 											
	EOL:918318	Epithemia sorex 						eaten by		EOL:2686759	Eriopterini 											
	EOL:918318	Epithemia sorex 						eaten by		EOL:60667	Aoteapsyche 											
	EOL:918318	Epithemia sorex 						eaten by		EOL:53016	Hudsonema 											
	EOL:918318	Epithemia sorex 						eaten by		EOL:19712309	Baraeoptera roria 											
	EOL:918318	Epithemia sorex 						eaten by		EOL:745749	Austrosimulium australense 											
	EOL:918318	Epithemia sorex 						eaten by		EOL:54821	Eukiefferiella 											
	EOL:918318	Epithemia sorex 						eaten by		EOL:19712211	Hydora nitida 											
	EOL:918318	Epithemia sorex 						eaten by		EOL:2692379	Cricotopus 											
	EOL:918318	Epithemia sorex 						eaten by		EOL:60648	Pycnocentrodes 											
	EOL:918318	Epithemia sorex 						eaten by		no:match	Orychmontia 											
	EOL:918318	Epithemia sorex 						eaten by		EOL:52934	Pycnocentria 											
	EOL:918318	Epithemia sorex 						eaten by		EOL:64	Lumbriculidae 											
	EOL:918318	Epithemia sorex 						eaten by		EOL:54923	Polypedilum 											
	EOL:918318	Epithemia sorex 						eaten by		EOL:9021	Tanyderidae 											
	EOL:918318	Epithemia sorex 						eaten by		EOL:8941720	Podaena 											
	EOL:918318	Epithemia sorex 						eaten by		EOL:8106970	Acroperla trivacuata 											
	EOL:918318	Epithemia sorex 						eaten by		EOL:8106965	Acroperla 											
	EOL:918318	Epithemia sorex 						eaten by		no:match	Austraclima jollyae 											
	EOL:918318	Epithemia sorex 						eaten by		EOL:6892142	Oniscigaster 											
	EOL:918318	Epithemia sorex 						eaten by		EOL:16680184	Zephlebia spectabilis 											
	EOL:918318	Epithemia sorex 						eaten by		EOL:60576	Hydrobiosella 											
	EOL:918318	Epithemia sorex 						eaten by		EOL:56387	Parametriocnemus 											
	EOL:918318	Epithemia sorex 						eaten by		EOL:56567	Parochlus 											
	EOL:918318	Epithemia sorex 						eaten by		WORMS:558774	Aeolosoma 											
	EOL:918318	Epithemia sorex 						eaten by		EOL:615147	Hydrobiosella stenocerca 											
	EOL:918318	Epithemia sorex 						eaten by		EOL:59435	Oeconesus 											
	EOL:918318	Epithemia sorex 						eaten by		EOL:10482179	Nesameletus ornatus 											
	EOL:918318	Epithemia sorex 						eaten by		EOL:2692848	Chironomini 											
	EOL:918318	Epithemia sorex 						eaten by		no:match	Zealolessica cheira 											
	EOL:918318	Epithemia sorex 						eaten by		EOL:78459	Stictocladius 											
	EOL:918318	Epithemia sorex 						eaten by		EOL:72562	Olinga 											
	EOL:918318	Epithemia sorex 						eaten by		EOL:8106901	Austroperla cyrene 											
	EOL:918318	Epithemia sorex 						eaten by		no:match	Zealolessica cheira 											
	EOL:918318	Epithemia sorex 						eaten by		EOL:52934	Pycnocentria 											
	EOL:918318	Epithemia sorex 						eaten by		EOL:55267	Pirara 											
	EOL:918318	Epithemia sorex 						eaten by		EOL:8941719	Orchymontia 											
	EOL:918318	Epithemia sorex 						eaten by		EOL:53016	Hudsonema 											
	EOL:918318	Epithemia sorex 						eaten by		EOL:54832	Cricotopus 											
	EOL:918318	Epithemia sorex 						eaten by		EOL:745749	Austrosimulium australense 											
	EOL:918318	Epithemia sorex 						eaten by		EOL:12026817	Austroclima jollyae 											
	EOL:918318	Epithemia sorex 						eaten by		EOL:60667	Aoteapsyche 											
	EOL:918318	Epithemia sorex 						eaten by		EOL:576	Chilopoda 											
	EOL:918318	Epithemia sorex 						eaten by		no:match	Scirtid sp. (Broad type) 											
	EOL:918318	Epithemia sorex 						eaten by		EOL:60648	Pycnocentrodes 											
	EOL:918318	Epithemia sorex 						eaten by		EOL:586334	Potamopyrgus antipodarum 											
	EOL:918318	Epithemia sorex 						eaten by		EOL:2564270	Oligochaeta 											
	EOL:918318	Epithemia sorex 						eaten by		EOL:55368	Naonella 											
	EOL:918318	Epithemia sorex 						eaten by		EOL:482	Chironomidae 											
	EOL:918318	Epithemia sorex 						eaten by		EOL:19712211	Hydora nitida 											
	EOL:918318	Epithemia sorex 						eaten by		EOL:3684076	Deleatidium 											
	EOL:918318	Epithemia sorex 						eaten by		EOL:6891728	Coloburiscus humeralis 											
	EOL:918318	Epithemia sorex 						eaten by		EOL:8106901	Austroperla cyrene 											
	EOL:918318	Epithemia sorex 						eaten by		EOL:88480	Aphrophila 											
		Actinocyclus normanii						has parasite			Ectrogella perforans											(Kühn)
		Bacteriastrum hyalinum						has parasite			Ectrogella sp.											(Kühn)
		Bacteriastrum hyalinum						has parasite			Paulsenella sp.											(Kühn)
		Bacteriastrum hyalinum						has parasite			Rhizamoeba schnepfii											(Kühn)
		Bacteriastrum hyalinum						has parasite			Rhizophydium spp.											(Kühn)
		Bellerochea malleus						has parasite			Chytrid"A" 											(Kühn)
		Bellerochea malleus						has parasite			Ectrogella perforans											(Kühn)
		Bellerochea malleus						has parasite			Paulsenella vonstoschii											(Kühn)
		Bellerochea malleus						has parasite			Phagomyxa sp.											(Kühn)
		Bellerochea malleus						has parasite			Rhynchopus cosconodiscivorus											(Kühn)
		Cerataulina bergonii						has parasite			Cryothecomonas longipes											(Kühn)
		Cerataulina pelagica						has parasite			Cryothecomonas longipes											(Kühn)
		Cerataulina pelagica						has parasite			Ectrogella sp.											(Kühn)
		Cerataulina pelagica						has parasite			Pirsonia eucampia											(Kühn)
		Cerataulina pelagica						has parasite			Pirsonia formosa											(Kühn)
		Cerataulina pelagica						has parasite			Pirsonia mucosa											(Kühn)
		Chaetoceros borealis						has parasite			Paulsenella chaetoceratis											(Kühn)
		Chaetoceros costatus						has parasite			Cryothecomonas longipes											(Kühn)
		Chaetoceros danicus						has parasite			Ectrogella perforans											(Kühn)
		Chaetoceros debilis						has parasite			Cryothecomonas longipes											(Kühn)
		Chaetoceros densus						has parasite			Rhizophydium spp.											(Kühn)
		Chaetoceros decipiens						has parasite			Cryothecomonas longipes											(Kühn)
		Chaetoceros decipiens						has parasite			Paulsenella chaetoceratis											(Kühn)
		Chaetoceros didymus						has parasite			Cryothecomonas longipes											(Kühn)
		Chaetoceros didymus						has parasite			Rhizamoeba schnepfii											(Kühn)
		Chaetoceros sp.						has parasite			Phagomyxa sp.											(Kühn)
		Coscinodiscus centralis						has parasite			Lagenidium sp.											(Kühn)
		Coscinodiscus concinnus						has parasite			Hemistasia phaeocysticola											(Kühn)
		Coscinodiscus concinnus						has parasite			Lagenisma coscinodiscii											(Kühn)
		Coscinodiscus concinnus						has parasite			Pirsonia diadema											(Kühn)
		Coscinodiscus concinnus						has parasite			Rhynchopus cosconodiscivorus											(Kühn)
		Coscinodiscus granii						has parasite			Cryothecomonas longipes											(Kühn)
		Coscinodiscus granii						has parasite			Hemistasia phaeocysticola											(Kühn)
		Coscinodiscus granii						has parasite			Lagenisma coscinodiscii											(Kühn)
		Coscinodiscus granii						has parasite			Pirsonia diadema											(Kühn)
		Coscinodiscus wailesii						has parasite			Cryothecomonas longipes											(Kühn)
		Coscinodiscus wailesii						has parasite			Hemistasia phaeocysticola											(Kühn)
		Coscinodiscus wailesii						has parasite			Lagenisma coscinodiscii											(Kühn)
		Coscinodiscus sp.						has parasite			Ectrogella perforans											(Kühn)
		Cylindrotheca closterium						has parasite			Chytrid"B" 											(Kühn)
		Detonula pumila						has parasite			Ectrogella perforans											(Kühn)
		Detonula pumila						has parasite			Pirsonia sp.											(Kühn)
		Eucampia zodiacus						has parasite			Ectrogella perforans											(Kühn)
		Eucampia zodiacus						has parasite			Paulsenella kornmanii											(Kühn)
		Eucampia zodiacus						has parasite			Pirsonia eucampia											(Kühn)
